="PPN";"Titre";"Editions";="Issn";"Acces en ligne";"Supplement(s) : ";"Est le supplement de : ";"Publie avec : ";"Suite de : ";"Succede apres scission a : ";"Remplace : ";"Remplace partiellement : ";"Absorbe : ";"Absorbe partiellement : ";"Fusion de : ";"Suite partielle de : ";"Devient : ";"Devient partiellement : ";"Remplace par : ";"Remplace partiellement par : ";"Absorbe par : ";"Absorbe partiellement par : ";"ScindeEn";"Fusionne avec";"Redevient : ";"Autre edition sur le meme support : ";"Autre edition sur un autre support : ";"Traduit sous le titre : ";"Traduit de : ";"Reproduction de : ";"Reproduit comme : ";"Titre cle : ";"Titre(s) abrege(s) : ";"Titre parallele : ";"Titre de couv. : ";"PublieEn";"Periodicite";="Dewey : ";"Source(s) de catalogage : ";"Etat de collection";"Lacunes";"Cote";"PCP";"Note sur l exemplaire"
="039995518";"ID";"New York, N.Y : Design Publications, 1984-";="0894-5373";"";"";"";"";"Industrial design (1983), 0883-8267";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ID (New York, N.Y. : 1984)";"";"";"";"";"ID(New York, N.Y. 1984)";"ID(N.Y.N.Y., 1984)";"";"";"1984- 2010, publie en anglais, aux Etats-Unis";"Bimestriel";="745.2/05";"Abes * ISSN";"vol. 47 no. 4 (2000) - vol. 49  (2002) ; (fev-2003) ; (jul-2003)-....";"";"";"";""
="045086109";"Intramuros. Hors-serie";"Issy-les-Moulineaux : Intramuros, 1999-2020";="1293-3929";"";"";"Intramuros (Paris), 0769-3710. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Intramuros. Hors-serie";"";"";"";"1999- 2020, publie en anglais, en France";"Annuel";="745.2/05 * 640 * 720 * 747";"Abes * FR-751131015 * ISSN France";"(2001)-....";"";"";"";""
="039790231";"Intramuros";"Paris : Intramuros, 1985-";="0769-3710";"";"Intramuros. Hors-serie, 1293-3929. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Intramuros(Paris)";"Intramuros(Paris)";"";"";"1985- 9999, publie en francais, en France";"Mensuel";="745.2/05 * 745.4";"Abes * ISSN * ISSN";"no. 78 (1998) ; no. 89 (2000) - no. 92  (2000) ; no. 93 (2001)-....";"";"";"";""
="040125394";"Journal des arts : l'art dans le monde";"Paris : Publications artistiques francaises, 1994-Paris : Publications artistiques francaises, 1994-2001Paris : Artclair editions, 2002-";="1245-1495";"";"Le Journal des antiquaires et galeries par le SNA, 3037-8540. Le Journal de la FIAC au Louvre et au Grand palais. Calendrier des arts..., 1268-9386. Le Magazine des expositions, 1273-2486. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LeJournaldesArts.fr, 2492-5845. Artclair.com, 2116-6382. ";"";"";"";"";"";"Le Journal des arts(Paris. 1994)";"J. arts(Paris, 1994)";"";"";"1994- 9999, publie en francais, en France";"Mensuel";="705 * 700";"FR-751131015 * ISSN France";"no. 1 (1994) - no. 5  (1994) ; no. 7 (1994) - no. 86  (1999) ; no. 88 (1999) - no. 135  (2001) ; no. 137 (2001) - no. 152  (2002) ; no. 154 (2002) - no. 163  (2003) ; no. 167 (2003)-....";"";"";"";""
="039205606";"Kalias";"[Valencia] : Generalitat Valenciana, Conselleria de Cultura, Educacio i Ciencia, IVAM Centre Julio Gonzalez, 1989-2001";="0214-6762";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kalias(Valencia)";"Kalias(Valencia)";"";"";"1989- 2001, publie en plusieurs langues, en Espagne";"Semestriel";="700";"Abes * ISSN";"no. 2 (1989) - no. 13  (1995) ; no. 21 (1999) - no. 22  (1999) ; no. 25 (2001) - no. 26  (2001)";"";"";"";""
="039130843";"Kunstforum international";"Koln : Kunstforum International, 1973-Mainz : Kunstforum Internat, 1973-Koln : Kunstforum InternatWetzlar : Rechenzentrum SchulteRuppichteroth : Kunstforum Internat";="0177-3674";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kunstforum internationalKunstforum international (Online), 2751-9570";"";"";"";"";"Kunstforum international";"Kunstforum int.";"";"";"1973- 9999, publie en allemand, en Allemagne";"Autre";="705 * 700";"Abes * ISSN";"no. 79 (1985) - no. 82  (1986) ; no. 95 (1988) - no. 100  (1989) ; no. 103 (1989) - no. 109  (1990) ; no. 111 (1990) - no. 117  (1991) ; no. 120 (1992) ; no. 139 (1997)-....";"";"";"";""
="039197832";"Lapiz : revista internacional de arte";"Madrid : Ediciones L, 1982-2016";="0212-1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Lapiz";"Lapiz";"";"";"1982- 9999, publie en espagnol, en Espagne";"Mensuel";="700";"Abes * ISSN";"no. 35 (1986) ; no. 71 (1990) ; no. 84 (1992) ; no. 99 (1994) - no. 175  (2001) ; no. 177 (2001)-....";"";"";"";""
="039852520";"Ligeia : dossiers sur l'art / [dir. publ. Giovanni Lista]";"Paris : Ligeia, 1988-";="0989-6023";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ligeia (Paris. En ligne), 2606-6165";"";"";"";"";"Ligeia(Paris)";"Ligeia(Paris)";"";"";"1988- 9999, publie en francais, en France";"Trimestriel";="700";"BN * ISSN";"no. 25 (1998)-....";"";"";"";""
="040230007";"Mouvement : revue trimestrielle du spectacle vivant et des arts visuels";"Paris : Ed. du Mouvement, 1993-1997; 1998-....Paris : Ed. du Mouvement, 1993-Paris : Ed. du Mouvement, 1993-Paris : Les Editions Secondes, 2015-";="1252-6967";"";"Slam. ";"Cripure (Paris), 1242-0778. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mouvement(Paris. 1993)";"";"";"Mouvement, l'interdisciplinaire des arts vivantsLa revue indisciplineeMouvement artistes, creations, esthetique et politiqueMouvement, magazine culturel indisciplinaire";"1993- 9999, publie en francais, en France";"Bimestriel";="700";"Abes * BNF * ISSN France";"no. 2 (1998) ; no. 7 (2000) - no. 19  (2002) ; no. 22 (2003)-....";"";"";"";""
="039924351";"Ninety";"Paris : Eighty magazine, 1990-2000";="1155-1240";"";"";"";"";"Eighty (Paris), 0294-1880";"";"";"";"";"";"";"";"Twenty (Paris), 1631-7904";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ninety(Paris)";"Ninety(Paris)";"";"";"1990- 2000, publie en francais, en France";"Bimestriel";="730 * 705 * 750 * 709.04";"Abes * FR-751131015 * ISSN France";"no. 2 (1990) - no. 34  (1999) ; no. 36 (2000)";"";"";"";""
="039035379";"Œil : revue d'art mensuelle";"Paris : L'Oeil, 1955-Lausanne : Nouvelle SedoParis : SerpaParis : Artclair editionsParis : Artclair editions, [20..]-";="0029-862X";"";"L'Oeil. Hors-serie (Paris), 1289-5164. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LeJournaldesArts.fr, 2492-5845. Artclair.com, 2116-6382. ";"";"";"";"";"";"L'Oeil(Paris)";"Œil(Paris)";"";"";"1955- 9999, publie en francais, en France";"Mensuel";="700 * 705";" *  * FR-751131015 * ISSN France";"no. 1 (1955) - no. 148  (1967) ; no. 188 (1970) - no. 189  (1970) ; no. 199 (1971) - no. 202  (1971) ; no. 212 (1972) - no. 229  (1974) ; no. 231 (1974) - no. 310  (1981) ; no. 312 (1981) - no. 353  (1984) ; no. 359 (1985) - no. 364  (1985) ; no. 374 (1986) ; no. 378 (1987) - no. 382  (1987) ; no. 386 (1987) - no. 393  (1988) ; no. 416 (1990) ; no. 423 (1990) - no. 425  (1990) ; no. 434 (1991) ; no. 440 (1992) ; no. 444 (1992) ; no. 457 (1993) ; no. 459 (1994) ; no. 470 (1995) - no. 483  (1996) ; no. 485 (1997) - no. 494  (1998) ; no. 496 (1998) - no. 542  (2002) ; no. 550 (2003)-....";"";"";"";""
="045062463";"Oeil. Hors-serie";"Paris : SERPA, [199.]-2011";="1289-5164";"";"";"L'Oeil (Paris), 0029-862X. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"L'Oeil. Hors-serie(Paris)";"";"";"";"199 - 2011, publie en francais, en France";"Sans periodicite";="705 * 700";"Abes * ISSN";"(1999) ; (2000) ; (2001)";"";"";"";""
="038682362";"Omnibus : gazette trimestrielle sur l'art contemporain";"Paris : Association Avance artistique, 1991-[199.]";="1166-1852";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Omnibus(Paris. 1991)";"";"";"";"1991- 20  , publie en francais, en France";"Trimestriel";="700 * 709.04";"Abes * ISSN";"no. 2 (1992) - no. 11  (1995) ; no. 13 (1995) - no. 14  (1995) ; no. 16 (1996) - no. 18  (1996) ; no. 21 (1997) - no. 32  (2000)";"";"";"";""
="03941261X";"Parachute";"Montreal : Artdata, 1975-2007";="0318-7020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Parachute";"Parachute";"";"";"1975- 9999, publie en plusieurs langues, au Canada";"Trimestriel";="709.714";"Abes * ISSN";"no. 4 (1976) ; no. 23 (1981) - no. 24  (1981) ; no. 27 (1982) ; no. 30 (1983) - no. 38  (1985) ; no. 41 (1986) ; no. 45 (1987) - no. 53  (1989) ; no. 61 (1991) - no. 62  (1991) ; no. 65 (1992) ; no. 71 (1993) - no. 76  (1994) ; no. 78 (1995) ; no. 80 (1995)-....";"";"";"";""
